Age,Gender,Height,Weight,Duration,Heart_Rate,Body_Temp,Activity,Calories_Burned
25,Male,5.9,160,30,120,98.6,Running,300
30,Female,5.5,140,45,110,98.4,Walking,200
22,Male,6.0,180,60,130,99.0,Cycling,500
28,Female,5.6,135,20,115,98.7,Running,180
35,Male,5.8,170,50,125,99.2,Walking,250
40,Female,5.4,150,30,105,98.5,Cycling,220
27,Male,5.10,175,40,128,98.9,Running,320
33,Female,5.7,145,60,112,98.6,Walking,270
24,Male,6.1,185,30,135,99.1,Cycling,400
29,Female,5.6,138,45,110,98.5,Running,230
31,Male,5.9,165,20,122,98.8,Walking,150
26,Female,5.5,140,50,108,98.6,Cycling,300
38,Male,5.11,180,60,130,99.0,Running,450
23,Female,5.6,135,30,112,98.7,Walking,200
36,Male,5.8,175,40,128,99.2,Cycling,360
32,Female,5.7,148,25,115,98.6,Running,190
29,Male,6.0,170,35,125,98.9,Walking,240
27,Female,5.5,142,45,110,98.5,Cycling,280
30,Male,5.9,160,50,130,99.0,Running,400
34,Female,5.6,150,20,108,98.6,Walking,170
